id_hhx;id_persx;id_tagx;persx;tagnr;berichtsjahr;ha_1;ha_2;ha_3;ha_4;ha_5;ha_6;ha_7;ha_8;ha_9;hainklweg_1;hainklweg_2;hainklweg_3;hainklweg_4;hainklweg_5;hainklweg_6;hainklweg_7;hainklweg_8;ha_11;ha_12;ha_13;ha_21;ha_22;ha_23;ha_24;ha_31;ha_32;ha_33;ha_34;ha_35;ha_36;ha_41;ha_42;ha_43;ha_44;ha_45;ha_46;ha_47;ha_48;ha_49;ha_51;ha_52;ha_53;ha_61;ha_62;ha_63;ha_64;ha_71;ha_73;ha_74;ha_75;ha_76;ha_79x;ha_81;ha_82;ha_83;ha_84;ha_92;ha_93;ha_94;ha_95;ha_96;ha_97;ha_98;ha_99;ha_110;ha_120;ha_131;ha_132;ha_139;ha_210;ha_220;ha_230;ha_241;ha_242;ha_243;ha_244;ha_245;ha_249;ha_311;ha_312;ha_313;ha_314;ha_315;ha_317;ha_319x;ha_321;ha_329;ha_330x;ha_341;ha_349;ha_353;ha_354x;ha_361;ha_362;ha_363;ha_364;ha_369;ha_411;ha_412;ha_413;ha_414;ha_419;ha_421;ha_422;ha_423;ha_429;ha_431;ha_432;ha_433;ha_434;ha_439;ha_441;ha_442;ha_443;ha_444;ha_445;ha_446;ha_449;ha_451;ha_452;ha_453;ha_454;ha_455;ha_459;ha_461;ha_464;ha_465;ha_466;ha_469;ha_471;ha_472;ha_473;ha_474;ha_475;ha_476;ha_479;ha_480;ha_491;ha_492;ha_499;ha_510;ha_520;ha_531;ha_532;ha_539;ha_611;ha_612;ha_621;ha_622;ha_623;ha_624;ha_625;ha_626;ha_627;ha_629;ha_630;ha_641;ha_642;ha_649;ha_711;ha_712;ha_713;ha_715;ha_716;ha_717;ha_719x;ha_730;ha_740;ha_752;ha_759x;ha_761;ha_762;ha_763;ha_769;ha_790x;ha_811;ha_812;ha_813;ha_814;ha_815;ha_819;ha_820;ha_830;ha_841;ha_842;ha_843;ha_844;ha_849;ha_921;ha_922;ha_923;ha_929;ha_931;ha_934;ha_939;ha_941;ha_945;ha_946;ha_947;ha_948;ha_949;ha_951;ha_952;ha_953;ha_959;ha_961;ha_962;ha_969;ha_970;ha_980;ha_991;ha_992;ha_997;ha_998;ha_999;tc1x;tc1ax;tc1bx;tc1cx;tc2x;tc2ax;tc2bx;tc2cx;tc3x;tc3ax;tc3bx;tc3cx;tc4;tc5;tc6;tc7;tc8;wtagfei;fehl_tag;quartal;jahr;selbtag;hrft80
3767;37671;376712;1;2;2012;44400;0;0;10200;0;23400;6600;1800;0;44400;0;0;10200;0;23400;6600;1800;34200;7200;3000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3600;1200;5400;0;0;0;0;18600;4800;0;6600;0;0;0;0;0;0;0;0;1800;0;0;0;0;0;0;0;0;34200;7200;3000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3600;0;0;0;0;1200;5400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14400;2400;1800;4800;0;0;0;1200;0;0;0;0;5400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2;-2;-2;0;-2;-2;-2;1;491;-2;-2;2;3;1;2;-2;7;0;3;2012;1;745312
3767;37671;376713;1;3;2012;28800;0;0;7800;0;21600;0;0;28200;28800;0;0;7800;0;21600;0;0;21600;4800;2400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1800;1800;600;3600;0;0;0;0;0;21600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28200;21600;4800;2400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1800;0;0;0;1800;0;0;0;0;0;0;600;3600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28200;0;0;0;0;0;-2;-2;-2;0;-2;-2;-2;2;491;991;-2;2;3;4;2;1;1;0;3;2012;1;844930
3767;37672;376721;2;1;2012;47400;0;0;6000;0;23400;7800;0;1800;47400;0;0;6000;0;24000;7800;0;33600;11400;2400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4800;0;1200;0;0;0;0;3000;20400;0;4200;0;0;0;3600;0;0;0;0;0;0;0;0;0;600;0;0;1200;33600;11400;2400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4800;0;0;0;0;0;0;0;1200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3000;20400;0;0;0;4200;0;0;0;0;0;0;0;0;0;0;3600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;600;0;0;0;1200;0;0;0;0;-2;-2;-2;0;-2;-2;-2;0;-2;-2;-2;2;3;3;2;-2;5;0;3;2012;1;747551
3767;37672;376722;2;2;2012;45000;0;0;7200;0;31200;3000;0;0;45000;0;0;7200;0;31200;3000;0;34200;6600;4200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1200;1200;4800;0;0;0;0;27600;3600;0;3000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34200;6600;4200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1200;0;0;0;0;0;0;1200;4800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23400;2400;1800;3600;0;0;0;3000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2;-2;-2;0;-2;-2;-2;1;491;-2;-2;2;3;1;2;-2;7;0;3;2012;1;683750
3767;37672;376723;2;3;2012;27000;0;0;7800;0;21600;0;0;30000;27000;0;0;7800;0;21600;0;0;22200;4200;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1800;1800;600;3600;0;0;0;0;0;21600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30000;22200;4200;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1800;0;0;0;1800;0;0;0;0;0;0;600;3600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30000;0;0;0;0;0;-2;-2;-2;0;-2;-2;-2;1;991;-2;-2;2;3;4;2;1;1;0;3;2012;1;770136
3768;37681;376811;1;1;2012;71400;0;0;10200;0;0;0;2400;2400;71400;0;0;12600;0;0;0;2400;65400;1200;4800;0;0;0;0;0;0;0;0;0;0;600;0;0;0;0;3000;6000;0;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2400;0;0;0;0;2400;0;0;0;0;0;65400;1200;2400;1800;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;600;0;0;2400;0;3600;0;0;2400;0;0;0;0;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2;-2;-2;0;-2;-2;-2;1;630;-2;-2;1;1;3;1;-2;4;0;3;2012;1;698084
3768;37681;376812;1;2;2012;37800;0;0;13800;0;22800;4200;6600;1200;37800;0;0;13800;0;22800;4200;6600;27000;9600;1200;0;0;0;0;0;0;0;0;0;0;0;4200;2400;0;0;1800;2400;0;3000;0;0;0;11400;0;9000;2400;3600;0;0;600;0;0;0;0;0;6600;0;0;0;0;0;0;0;1200;27000;9600;1200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4200;0;0;0;2400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1800;0;0;1200;0;1200;0;0;0;0;600;600;1800;0;0;0;0;0;4800;6600;0;0;0;0;0;0;0;0;9000;2400;0;0;0;0;0;0;3600;0;0;0;0;0;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2400;4200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1200;0;0;1;641;-2;-2;0;-2;-2;-2;0;-2;-2;-2;2;1;-1;1;-2;5;0;3;2012;1;677091
3768;37681;376813;1;3;2012;39000;0;0;21600;0;8400;0;16200;1200;39000;0;0;22800;0;8400;0;16200;33000;3000;3000;0;0;0;0;0;0;0;0;0;0;4200;1200;600;0;0;3600;12000;0;0;0;0;0;0;0;8400;0;0;0;0;0;0;0;0;16200;0;0;0;0;1200;0;0;0;0;0;33000;3000;2400;0;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4200;0;0;0;0;1200;0;0;0;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3600;0;0;0;0;600;0;3600;4200;0;3600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;476;820;-2;0;-2;-2;-2;0;-2;-2;-2;2;1;1;1;1;6;0;3;2012;1;635145
3768;37682;376821;2;1;2012;46800;0;27000;0;0;3000;3600;3600;2400;46800;0;29400;0;0;3000;3600;3600;36600;6000;4200;0;0;0;0;23400;0;0;0;3600;0;0;0;0;0;0;0;0;0;0;0;0;0;3000;0;0;0;3600;0;0;0;0;0;0;3600;0;0;0;2400;0;0;0;0;0;0;36600;6000;4200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23400;0;0;0;0;0;0;3600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3600;0;0;0;0;0;0;0;0;0;0;2400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;712;-2;-2;1;790;-2;-2;1;354;-2;-2;1;2;1;1;-2;4;0;3;2012;1;475291
3768;37682;376822;2;2;2012;43200;0;25800;0;7800;0;0;5400;4200;43200;0;28800;0;9000;0;0;5400;32400;7200;3600;0;0;0;0;25800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7800;0;0;0;0;0;0;0;0;0;0;0;0;1800;3600;0;0;0;3000;0;1200;0;0;0;0;32400;7200;3000;0;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1800;3600;0;0;0;0;0;0;0;0;0;0;3000;0;0;0;0;0;0;0;0;1200;0;0;0;0;0;0;0;0;0;0;0;0;0;1;510;-2;-2;0;-2;-2;-2;0;-2;-2;-2;1;2;1;2;-2;5;0;3;2012;1;470604
