id_hhx;id_persx;persx;berichtsjahr;alterx;ha3x;ha6x;ha81x;ha9x;he201;he20_kibetr1x;he20_kibetr2x;he211x;he212;he221x;he222;he23_sprachfx;he233x;he23_kunstx;he236x;he237x;he238x;he239;he2311x;pfb_ausgef;pa2x;pa3;pa4x;pb5x;pb6;pc7x;pc8;pc9;pc10x;pc11x;pc12x;pc13;pc15bx;pc16;pc171;pc172x;pc18x;pc19;pc20;pc21_fruehx;pc21_spaetx;pc22;pd231;pd232x;pd24x;pe25bx;pf26;pf27x;pf28x;pf29x;pf30;pg311;pg312;pg313;pg314;pg315;pg316;pg317;pg318;pg319;pg3110;pg3111;pg3112;pg3113;pg3114;pg3115;pg32;ph33a;ph33bx;ph34;ph35x;ph361a;ph361bx;ph362a;ph362bx;ph363a;ph363bx;ph364a;ph364bx;ph365a;ph365bx;ph366a;ph366bx;ph367a;ph367bx;ph368a;ph368bx;ph369a;ph369bx;ph3610a;ph3610bx;ph3611a;ph3611bx;ph3612a;ph3612bx;ph3613a;ph3613bx;ph3614a;ph3614bx;ph3615a;ph3615bx;pi37;pi381;pi382;pi383;pi384;pi385;pi386;pi387;pi388;pi389;pi3810;pi3811;pi3812;pi3813;pi3814;pi3815;pi3816;pi391;pi392;pi393;pi394;pi395;pi396;pi397;pi398;pi399;pi3910;pi3911;pi3912;pi401;pi402;pi403;pi404;pi405;pi406;pi411;pi412;pj42x;pj43x;pj44x;pj45;pj46;hrf_p80;hrf_k80;alter_gr1;alter_gr2;soz;erw_typ;erw_part;isced;bildung_typ;pf29_typ;migr
01312;01312_04;4;2022;13;1;3;1;1;;;;;;;;;;;;;;;;1;1;-2;-2;6;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;1;1;1;1;-2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;-2;-2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;6;9;9;9;3;3;9;9;9;9;3;3;3;3;9;9;3;1;3;5;5;5;3;5;2;5;3;3;2;1;2;9;1;1;4;8;8;1;1;3;2;-2;1360.4660534;;2;2;-2;-2;-2;1;-2;1;2
01313;01313_01;1;2022;38;2;1;1;2;;;;;;;;;;;;;;;;1;5;2;-2;4;1;1;1;2;20;20;3;1;6212;4;1;2;10;1;1;1;1;2;2;-2;-2;3;2;-2;6;4;-2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;-1;-1;2;-2;-2;-2;2;-2;2;-2;1;6;1;6;2;-2;2;-2;1;1;2;-2;1;0;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;1;9;9;2;1;2;2;9;9;9;2;1;1;1;2;2;1;2;1;3;5;5;2;1;2;2;3;5;9;9;9;1;9;5;4;4;2;2;2;2;-2;2288.2454098;;4;4;3;2;-2;3;2;3;1
01313;01313_02;2;2022;11;1;3;1;1;1;-2;-2;-2;1;25;2;-1;-1;-1;-1;-1;-1;-1;-1;-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;-2;-2;-2;-2;-2;-2;2
01313;01313_03;3;2022;7;1;3;1;1;2;20;-2;5;2;28;2;5;-2;-2;2;-2;-2;2;2;-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2356.7385537;1;-2;-2;-2;-2;-2;-2;-2;2
01314;01314_01;1;2022;56;1;1;1;1;;;;;;;;;;;;;;;;1;1;1;2;4;1;2;-1;1;40;0;1;2;1171;4;2;-2;-2;1;2;-2;-2;5;2;-2;-2;4;2;-2;3;6;-2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;-2;-2;-2;2;-2;2;-2;2;-2;1;5;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;0;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;5;4;3;4;4;1;2;1;4;1;1;4;4;9;5;1;1;5;1;1;1;1;2;2;-2;5761.8471998;;5;5;4;1;-2;3;2;3;2
01314;01314_02;2;2022;18;1;3;1;1;;;;;;;;;;;;;;;;1;1;2;-2;5;1;1;2;1;38;38;8;2;4342;4;1;11;25;2;2;-2;-2;5;2;-2;-2;3;1;2;6;1;-2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;6;2;-2;-2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;7;9;9;9;3;2;2;5;4;1;1;1;1;3;3;1;1;1;1;3;4;1;4;2;1;3;1;1;4;1;3;1;1;2;4;5;6;1;1;2;2;-2;6539.2871101;;3;3;3;1;-2;2;1;1;2
01315;01315_01;1;2022;38;1;1;1;1;;;;;;;;;;;;;;;;1;2;2;-2;4;1;2;1;1;45;38;4;1;3332;4;2;-2;-2;1;2;-2;-2;4;2;-2;-2;7;2;-2;6;4;-2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;7;2;-2;-2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;6;1;9;2;3;2;1;3;9;2;9;2;2;2;2;9;2;3;2;2;3;5;3;2;2;2;2;3;4;5;9;9;1;1;4;4;5;2;1;3;2;-2;2419.1172547;;4;4;4;1;2;3;2;3;1
01315;01315_02;2;2022;48;2;2;1;1;;;;;;;;;;;;;;;;1;2;2;-2;4;1;1;1;2;27;27;13;2;7323;4;1;3;5;2;2;-2;-2;4;2;-2;-2;5;2;-2;7;4;-2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;3;2;-2;-2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;1;1;2;-2;2;-2;2;-2;1;1;2;-2;2;-2;2;-2;2;-2;6;4;9;2;3;3;3;3;9;9;3;1;1;1;1;2;3;1;2;2;3;4;5;3;3;3;2;4;4;9;9;2;1;2;2;3;3;1;2;3;2;-2;2834.8560744;;5;5;3;2;1;4;2;3;1
01315;01315_03;3;2022;7;1;3;1;1;2;5;-2;2;2;30;2;-2;2;-2;4;-2;-2;2;-2;-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2900.6030675;1;-2;-2;-2;-2;-2;-2;-2;2
01316;01316_01;1;2022;35;1;1;1;1;;;;;;;;;;;;;;;;1;2;2;-2;4;1;3;-2;1;40;35;13;1;7324;4;1;11;15;2;2;-2;-2;5;2;-2;-2;10;2;-2;8;13;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;-1;2;-2;-2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;8;3;9;3;2;2;3;2;9;2;3;3;2;3;3;3;3;3;4;3;5;3;2;3;2;2;2;2;5;3;1;1;1;2;2;4;5;1;1;1;2;-2;1161.9998077;;4;4;2;1;2;7;3;6;2
01316;01316_02;2;2022;36;2;2;1;1;;;;;;;;;;;;;;;;1;2;2;-2;4;1;3;-2;2;15;15;13;2;7313;3;1;11;15;2;2;-2;-2;5;2;-2;-2;3;2;-2;8;13;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;7;2;-2;-2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;9;3;9;2;9;3;3;3;9;9;9;3;3;2;3;3;3;4;5;4;5;5;2;3;2;3;3;3;5;1;1;1;1;9;1;5;6;1;1;1;2;-2;1094.27695;;4;4;2;2;1;6;3;6;2
01316;01316_03;3;2022;7;2;3;1;1;2;-2;15;5;2;21;2;-2;-2;-2;-2;2;2;2;4;-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1365.2785931;1;-2;-2;-2;-2;-2;-2;-2;2
01316;01316_04;4;2022;3;2;3;1;1;2;-2;40;5;2;-2;1;-2;-2;-2;-2;3;-2;2;-2;-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1295.4155009;1;-2;-2;-2;-2;-2;-2;-2;2
01317;01317_01;1;2022;40;2;1;1;1;;;;;;;;;;;;;;;;1;2;2;-2;4;1;1;1;2;20;20;15;2;8132;4;1;20;25;2;1;1;1;2;2;-2;-2;5;2;-2;6;7;-2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;7;1;2;1;0;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;7;2;9;2;3;3;3;3;9;9;9;3;3;3;3;3;3;2;2;1;3;5;2;2;2;3;3;3;4;2;1;1;1;1;1;4;5;1;1;2;2;-2;3340.9462244;;4;4;3;2;2;4;2;4;2
01317;01317_02;2;2022;42;1;2;1;1;;;;;;;;;;;;;;;;1;2;2;-2;4;1;1;1;2;25;40;3;2;6232;4;1;20;60;1;1;1;2;1;2;-2;-2;3;2;-2;6;4;-2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;7;2;-2;-2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;7;3;9;2;9;2;4;3;9;9;9;2;3;2;3;3;4;2;5;4;5;5;2;2;3;3;3;3;4;1;1;1;1;1;2;8;8;1;1;2;2;-2;2521.0600282;;4;4;3;2;2;3;2;3;2
01317;01317_03;3;2022;13;2;3;1;1;;;;;;;;;;;;;;;;1;1;-2;-2;6;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;1;1;1;1;-2;2;1;2;1;2;2;2;2;1;2;2;2;2;2;2;-1;2;-2;-2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;7;9;9;9;3;3;4;9;9;9;3;2;2;3;3;2;3;3;3;3;3;3;5;3;4;1;3;4;3;1;1;2;1;2;3;5;6;1;1;2;2;-2;3800.7819326;;2;2;-2;-2;-2;1;-2;1;2
